marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range,faixa_preco,faixa_preco_prevista,valor_estimado
Honda,Civic Prosmetic,2011,130000.0,229900,Gasolina,Original,Nacional,Automatic,3,5,Intermediário,Intermediário,245657.07356430945
Suzuki,Every,2010,90000.0,140000,Gasolina,Original,Importado,Automatic,3,3,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2000,90000.0,635000,Gasolina,Original,Importado,Manual,1,3,Luxo,Luxo,681403.3241134752
Suzuki,Mehran VXR,2009,88000.0,120000,Gasolina,Original,Nacional,Manual,3,3,Econômico,Econômico,149497.18328086744
Honda,City Aspire,2016,84000.0,319000,Gasolina,Original,Nacional,Automatic,4,3,Premium,Premium,350855.0221465077
Changan,Karvaan,2022,5500.0,255000,Gasolina,Original,Nacional,Manual,6,1,Intermediário,Intermediário,245657.07356430945
Daihatsu,Mira,2006,100000.0,125000,Gasolina,Original,Importado,Automatic,2,4,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2004,12345.0,850000,Gasolina,Original,Importado,Manual,1,1,Luxo,Luxo,681403.3241134752
Suzuki,Bolan,2015,100000.0,100000,Gasolina,Original,Nacional,Manual,4,4,Econômico,Luxo,681403.3241134752
Daihatsu,Mira,2013,70000.0,210000,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
Daihatsu,Cuore,2005,123456.0,850000,Gasolina,Original,Importado,Manual,2,5,Luxo,Luxo,681403.3241134752
Daihatsu,Cuore,2003,241000.0,550000,Gasolina,Original,Importado,Manual,1,10,Luxo,Luxo,681403.3241134752
Daihatsu,Hijet,2012,107540.0,135000,Gasolina,Original,Importado,Manual,3,4,Econômico,Econômico,149497.18328086744
Suzuki,Alto,2007,95000.0,112000,Gasolina,Original,Nacional,Automatic,2,4,Econômico,Econômico,149497.18328086744
Honda,City Aspire,2019,33000.0,420000,Gasolina,Original,Nacional,Automatic,5,2,Luxo,Luxo,681403.3241134752
Honda,City IVTEC,2021,49000.0,399000,Gasolina,Original,Nacional,Manual,6,2,Premium,Premium,350855.0221465077
Daihatsu,Mira,2014,82600.0,219000,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
Suzuki,Wagon R,2022,11500.0,295000,Gasolina,Original,Nacional,Manual,6,1,Intermediário,Intermediário,245657.07356430945
Honda,Civic Prosmetic,2003,107000.0,158500,Gasolina,Original,Nacional,Automatic,1,4,Econômico,Econômico,149497.18328086744
Toyota,Corolla GLI,2012,110000.0,305000,Gasolina,Original,Nacional,Automatic,3,4,Premium,Premium,350855.0221465077
Suzuki,Bolan,2015,36000.0,100000,Gasolina,Original,Nacional,Manual,4,2,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2018,68000.0,145000,Gasolina,Original,Nacional,Manual,5,3,Econômico,Econômico,149497.18328086744
Honda,City IVTEC,2018,87000.0,349500,Gasolina,Original,Nacional,Automatic,5,3,Premium,Premium,350855.0221465077
Suzuki,Bolan,2013,95000.0,895000,Gasolina,Original,Nacional,Manual,4,4,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2006,200000.0,160000,Gasolina,Original,Nacional,Automatic,2,7,Econômico,Econômico,149497.18328086744
Honda,City IDSI,2007,142000.0,205000,Gasolina,Original,Nacional,Manual,2,5,Intermediário,Intermediário,245657.07356430945
Daihatsu,Move,2012,108000.0,215000,Gasolina,Original,Importado,Automatic,3,4,Intermediário,Intermediário,245657.07356430945
Honda,City IDSI,2002,90000.0,138000,Gasolina,Original,Importado,Manual,1,3,Econômico,Econômico,149497.18328086744
Daihatsu,Hijet,2017,124000.0,128500,Gasolina,Original,Importado,Automatic,5,5,Econômico,Econômico,149497.18328086744
